date,open,high,low,close,volume
2010-01-04,64.8291404100,64.9479294900,62.8394233200,62.9285151300,66191338
2010-01-05,63.5818550700,64.0867086600,61.7406243300,63.4036714500,115147943
2010-01-06,63.2254878300,63.2551851000,62.0078997600,62.1563861100,96782575
2010-01-07,62.0078997600,62.4830560800,60.2854581000,60.7606144200,85236072
2010-01-08,60.4042471800,61.7703216000,60.2854581000,61.4436516300,65707646
2010-01-11,64.1461032000,64.7400486000,61.0872843900,61.4436516300,116304812
2010-01-12,61.2654680100,62.2751751900,60.1666690200,61.7703216000,82351139
2010-01-13,60.1369717500,60.4339444500,58.8005946000,58.8896864100,146399684
2010-01-14,59.0084754900,59.4539345400,58.3254382800,59.3054481900,77340771
2010-01-15,59.4539345400,60.1369717500,58.5630164400,59.5133290800,69183668
2010-01-18,59.1272645700,60.2557608300,59.0084754900,60.1072744800,69940218
2010-01-19,60.1369717500,61.1466789300,60.0181826700,60.4339444500,69966139
2010-01-20,60.6418253400,60.9684953100,58.2066492000,58.7708973300,80776510
2010-01-21,59.0381727600,61.0872843900,58.6818055200,60.7903116900,93418186
2010-01-22,59.9884854000,62.6612397000,59.4242372700,62.0672943000,154445976
2010-01-25,61.0575871200,62.3048724600,60.6418253400,60.7606144200,80232725
2010-01-26,60.8497062300,62.0672943000,59.8993935900,61.4436516300,91936559
2010-01-27,61.3842570900,61.7703216000,58.7412000600,58.9787782200,94264363
2010-01-28,58.7412000600,58.9490809500,57.5533092600,58.5036219000,58691704
2010-01-29,58.2066492000,59.5133290800,57.8502819600,58.2660437400,53690104
2010-02-01,58.2660437400,58.2660437400,56.4248130000,57.0781529400,51669420
2010-02-02,57.4048229100,58.5036219000,56.9296665900,57.1375474800,48969591
2010-02-03,57.3454283700,59.1866591100,56.4545102700,59.0678700300,76493075
2010-02-04,58.2363464700,59.0678700300,58.2066492000,58.3848328200,46162099
2010-02-05,57.0187584000,58.4442273600,56.8999693200,57.6720983400,43895954
2010-02-08,57.7611901500,57.9096765000,56.6623911600,57.0781529400,37230982
2010-02-09,57.0187584000,57.8799792300,56.9296665900,57.6720983400,26496190
2010-02-10,58.1769519300,58.6521082500,57.9096765000,58.4442273600,30709495
2010-02-11,58.4739246300,58.8005946000,58.1769519300,58.3254382800,27375492
2010-02-12,58.5927137100,59.0381727600,58.3848328200,58.8302918700,29682512
2010-02-22,58.5927137100,58.9787782200,58.1472546600,58.4442273600,33430729
2010-02-23,58.3551355500,58.3551355500,57.1672447500,57.8799792300,30570947
2010-02-24,57.4642174500,58.4442273600,57.1375474800,58.3848328200,38978358
2010-02-25,58.6521082500,61.7703216000,58.6521082500,61.5921379800,194475975
2010-02-26,61.5921379800,61.5921379800,61.5921379800,61.5921379800,0
2010-03-01,61.5921379800,61.5921379800,61.5921379800,61.5921379800,0
2010-03-02,61.5921379800,61.5921379800,61.5921379800,61.5921379800,0
2010-03-03,61.5921379800,61.5921379800,61.5921379800,61.5921379800,0
2010-03-04,61.5921379800,61.5921379800,61.5921379800,61.5921379800,0
2010-03-05,61.5921379800,61.5921379800,61.5921379800,61.5921379800,0
2010-03-08,61.5921379800,61.5921379800,61.5921379800,61.5921379800,0
2010-03-09,61.5921379800,61.5921379800,61.5921379800,61.5921379800,0
2010-03-10,61.5921379800,61.5921379800,61.5921379800,61.5921379800,0
2010-03-11,62.3642670000,64.7400486000,62.0672943000,63.2551851000,230271759
2010-03-12,63.3145796400,63.9085250400,62.4236615400,62.4830560800,74911752
2010-03-15,62.3642670000,62.8097260500,61.1169816600,61.4139543600,58127318
2010-03-16,61.2654680100,62.9582124000,60.9091007700,62.9285151300,56343015
2010-03-17,63.0473042100,64.5915622500,62.2157806500,64.3539840900,90740415
2010-03-18,64.3242868200,65.9576366700,63.9976168500,64.4430759000,88983821
2010-03-19,64.7994431400,65.4527830800,63.8491305000,64.7400486000,44756709
2010-03-22,64.8885349500,66.3733984500,64.8885349500,65.9576366700,96636042
2010-03-23,66.0764257500,66.6109766100,65.0073240300,65.3339940000,62566261
2010-03-24,65.4824803500,66.4921875300,65.3339940000,65.4230858100,51092919
2010-03-25,65.2152049200,65.2152049200,63.7303414200,64.1758004700,52512296
2010-03-26,63.9085250400,66.8485547700,63.9085250400,66.1061230200,82497766
2010-03-29,66.6703711500,68.6600882400,66.2546093700,68.2443264600,139499328
2010-03-30,68.2443264600,68.2443264600,68.2443264600,68.2443264600,0
2010-03-31,68.5116018900,68.5709964300,67.4128029000,67.6503810600,54201365
2010-04-01,67.6206837900,68.6600882400,67.2643165500,67.8582619500,58179154
